Description,
Used to apply end-user cookie consent preferences set by our client-side utility.,Utilisé pour appliquer les préférences de consentement aux cookies de l'utilisateur final définies par notre utilitaire côté client.
Used to create a popup message telling users that cookies are required.,Utilisé pour créer un message contextuel indiquant aux utilisateurs que les cookies sont requis.
Used for internal diagnostics with mobile applications.,Utilisé pour les diagnostics internes avec des applications mobiles.
Used to establish a request context in the correct tenant org.,Utilisé pour établir un contexte de demande dans l’organisation client appropriée.
Enables user switching.,Permet le changement d'utilisateur.
CSRF Token.,Jeton CSRF.
Used in essential Open CTI functionality to determine the dial pad focus.,Utilisé dans la fonctionnalité essentielle d'Open CTI pour déterminer le focus du clavier de numérotation.
"Tracks the last user login and active session for bypassing login (For example, OAuth immediate flow).","Suit la dernière connexion utilisateur et la session active pour contourner la connexion (par exemple, flux immédiat OAuth)."
"For the SharePoint connector, used to authenticate to the top-level site in SharePoint.","Pour le connecteur SharePoint, utilisé pour s'authentifier auprès du site de niveau supérieur dans SharePoint."
Ensures that client requests hit the same proxy hosts and are more likely to retrieve content from cache.,Garantit que les requêtes des clients atteignent les mêmes hôtes proxy et sont plus susceptibles de récupérer le contenu du cache.
Used to redirect server requests for sticky sessions.,Utilisé pour rediriger les requêtes du serveur pour les sessions persistantes.
Controls whether the sidebar in Salesforce Classic is open or not for a user.,Contrôle si la barre latérale dans Salesforce Classic est ouverte ou non pour un utilisateur.
Provides a unique ID for guest users in Experience Cloud sites. Expires one year after the user’s last visit to the site.,Fournit un ID unique pour les utilisateurs invités dans les sites Experience Cloud. Expire un an après la dernière visite de l’utilisateur sur le site.
Tracks CrossSiteRequestForgery validation for certain SSO flows.,Suit la validation CrossSiteRequestForgery pour certains flux SSO.
"Used to redirect requests to an instance when bookmarks and hardcoded URLs send requests to a different instance. This type of redirect can happen after an org migration, a split, or after any URL update.","Utilisé pour rediriger les requêtes vers une instance lorsque les signets et les URL codées en dur envoient des requêtes à une autre instance. Ce type de redirection peut se produire après une migration d'organisation, une scission ou après toute mise à jour d'URL."
"Identifies the language for custom components, surveys, and flows, which support multiple languages. Without this cookie, translations for custom features can appear incorrectly.","Identifie la langue des composants personnalisés, des enquêtes et des flux, qui prennent en charge plusieurs langues. Sans ce cookie, les traductions des fonctionnalités personnalisées peuvent s'afficher de manière incorrecte."
"Used in essential Open CTI functionality, such as determining if CTI should screen pop the current call object.","Utilisé dans les fonctionnalités essentielles d'Open CTI, telles que la détermination si CTI doit afficher l'objet d'appel actuel."
"Used in essential Open CTI functionality, such as determining if CTI should screen pop the current call object.","Utilisé dans les fonctionnalités essentielles d'Open CTI, telles que la détermination si CTI doit afficher l'objet d'appel actuel."
Used to store the cookie name for the last list URL.,Utilisé pour stocker le nom du cookie pour la dernière URL de la liste.
Identifies a Live Agent session. Stores a unique pseudonymous ID for a specific browser session over chat service.,Identifie une session Live Agent. Stocke un identifiant pseudonyme unique pour une session de navigateur spécifique via le service de chat.
Determines whether to send the user to a specific portal login or an app login.,Détermine s’il faut envoyer l’utilisateur vers une connexion au portail spécifique ou vers une connexion à une application.
Stores the last logged in org for redirecting requests. Used for logging whether the cookie is present in site and community guest-user requests.,Stocke la dernière organisation connectée pour rediriger les demandes. Utilisé pour enregistrer si le cookie est présent dans les demandes des utilisateurs invités du site et de la communauté.
Used to track unique page visitors in Experiences.,Utilisé pour suivre les visiteurs uniques des pages dans les expériences.
Used to store a user’s language selection for this Experience Builder site. The site doesn’t load without this cookie if the user changes the site’s language.,Utilisé pour stocker la sélection de langue d’un utilisateur pour ce site Experience Builder. Le site ne se charge pas sans ce cookie si l'utilisateur change la langue du site.
Stores whether test mode is in effect. This cookie is read-only.,Stocke si le mode test est en vigueur. Ce cookie est en lecture seule.
"Used to store site parameters in the session for reuse across requests by a single client for functionality and performance reasons. Metadata required for fetching site pages and components based on pageId, schema, viewType, brandingSet, formFactor, and audience targeting.","Utilisé pour stocker les paramètres du site dans la session afin de les réutiliser entre les requêtes d'un seul client pour des raisons de fonctionnalité et de performances. Métadonnées requises pour récupérer les pages et les composants du site en fonction du pageId, du schéma, du viewType, du brandingSet, du formFactor et du ciblage d'audience."
Used with 'Log in As' to restore the original state.,Utilisé avec « Se connecter en tant que » pour restaurer l'état d'origine.
The return URL to redirect to when logging out of a session.,L'URL de retour vers laquelle rediriger lors de la déconnexion d'une session.
"Session ID and login-as session ID. In this case the cookies are copied to the response and cause the target URL to rebuild appropriately in a proxy situation. The cookies aren't created, examined, or modified.","ID de session et identifiant de connexion en tant que session. Dans ce cas, les cookies sont copiés dans la réponse et provoquent la reconstruction appropriée de l'URL cible dans une situation de proxy. Les cookies ne sont pas créés, examinés ou modifiés."
"Stores identity confirmation details for Experience Cloud users. If the cookie isn't set or it expires, users must repeat the identity confirmation process the next time that they log in. Identity confirmation requires a verification method such as SMS, an authenticator app, or a security key.","Stocke les détails de confirmation d’identité pour les utilisateurs Experience Cloud. Si le cookie n'est pas défini ou s'il expire, les utilisateurs doivent répéter le processus de confirmation d'identité lors de leur prochaine connexion. La confirmation d'identité nécessite une méthode de vérification telle qu'un SMS, une application d'authentification ou une clé de sécurité."
Used to maintain a sticky (persistent) session on the salesforce.com domain. Makes sure that subsequent streaming requests are forwarded to the same server instance where the streaming subscription request was originally handled.,Utilisé pour maintenir une session persistante (persistante) sur le domaine salesforce.com. S'assure que les demandes de streaming ultérieures sont transmises à la même instance de serveur que celle sur laquelle la demande d'abonnement au streaming a été initialement traitée.
SessionID.,ID de session.
Used to detect and prevent session tampering.,Utilisé pour détecter et empêcher la falsification de session.
Controls the state of the Salesforce Classic sidebar.,Contrôle l'état de la barre latérale Salesforce Classic.
Stores the authentication code for previewing the site. Preview mode doesn’t load without this cookie.,Stocke le code d'authentification pour prévisualiser le site. Le mode aperçu ne se charge pas sans ce cookie.
Identifies the Identity Provider (IdP) location for SSO; certain service provider initiated SSO requests can fail without this cookie.,Identifie l'emplacement du fournisseur d'identité (IdP) pour SSO ; certaines demandes SSO initiées par un fournisseur de services peuvent échouer sans ce cookie.
Used when the user identity that an administrator is assuming (via Log in to Experience as User) is a Customer Success Portal (CSP) user.,Utilisé lorsque l'identité d'utilisateur assumée par un administrateur (via la connexion à l'expérience en tant qu'utilisateur) est un utilisateur du Customer Success Portal (CSP).
Used when the user identity that an administrator is assuming (via Log in to Experience as) is a Partner Relationship Management (PRM) portal user.,Utilisé lorsque l'identité d'utilisateur qu'un administrateur assume (via Se connecter à l'expérience en tant que) est un utilisateur du portail Partner Relationship Management (PRM).
Controls how quickly to set the standby URL when loading the softphone.,Contrôle la rapidité avec laquelle définir l'URL de veille lors du chargement du softphone.
"In Salesforce Classic, used to read the last user selection for 'Find in View', 'Article Language', {DataCategory}, and 'Validation Status' in Article Management.","Dans Salesforce Classic, utilisé pour lire la dernière sélection de l'utilisateur pour « Rechercher dans la vue », « Langue de l'article », {DataCategory} et « Statut de validation » dans la gestion des articles."
"In Salesforce Classic, used to remember the user selection to determine whether to show 'Articles' or 'My Drafts' view in Knowledge.","Dans Salesforce Classic, utilisé pour mémoriser la sélection de l'utilisateur afin de déterminer s'il faut afficher la vue « Articles » ou « Mes brouillons » dans Knowledge."
"In Salesforce Classic, used to remember the last user selection for the data category filter in Knowledge.","Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour le filtre de catégorie de données dans Knowledge."
"In Salesforce Classic, used to remember the last user selection for the article type filter for 'Articles' view in Knowledge.","Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour le filtre de type d'article pour la vue « Articles » dans Knowledge."
"In Salesforce Classic, used to remember the last user selection for the publish status filter for 'Articles' view in Knowledge.","Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour le filtre de statut de publication pour la vue « Articles » dans Knowledge."
"In Salesforce Classic, used to remember the last user selection for the validation status filter for 'Articles' view in Knowledge.","Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour le filtre de statut de validation pour la vue « Articles » dans Knowledge."
"In Salesforce Classic, used to remember the last user selection for the language filter in Knowledge.","Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour le filtre de langue dans Knowledge."
"In Salesforce Classic, used to remember the last user selection for the article type filter for 'My Drafts' view in Knowledge.","Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour le filtre de type d'article pour la vue « Mes brouillons » dans Knowledge."
"In Salesforce Classic, used to remember the last user selection for publish status filter for 'My Drafts' view in Knowledge.","Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour le filtre de statut de publication pour la vue « Mes brouillons » dans Knowledge."
"In Salesforce Classic, used to remember the last user selection for the validation status filter for 'My Drafts' view in Knowledge.","Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour le filtre d'état de validation de la vue « Mes brouillons » dans Knowledge."
"In Salesforce Classic, used to remember the last user selection for 'Sort by' for the 'Articles' view in Knowledge.","Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour « Trier par » pour la vue « Articles » dans Knowledge."
"In Salesforce Classic, used to remember the last user selection for 'Sort by' for 'My Drafts' view in Knowledge.","Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour « Trier par » pour la vue « Mes brouillons » dans Knowledge."
"In Salesforce Classic, used to remember the last user selection for 'Articles' or 'Translations' tab in Article Management.","Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour l'onglet « Articles » ou « Traductions » dans la gestion des articles."
"In Salesforce Classic, used to remember the page style of the Agent Console.","Dans Salesforce Classic, utilisé pour mémoriser le style de page de la console de l'agent."
"In Salesforce Classic, used to remember the page style of the Agent Console.","Dans Salesforce Classic, utilisé pour mémoriser le style de page de la console de l'agent."
"In Salesforce Classic, used to remember the page style of the Agent Console.","Dans Salesforce Classic, utilisé pour mémoriser le style de page de la console de l'agent."
"In Salesforce Classic, used to remember the page style of the Agent Console.","Dans Salesforce Classic, utilisé pour mémoriser le style de page de la console de l'agent."
Determines if the login page remembers the user's username.,Détermine si la page de connexion mémorise le nom d'utilisateur de l'utilisateur.
"Saves the open, closed, and height percent states of the calendar panel.","Enregistre les états d'ouverture, de fermeture et de pourcentage de hauteur du panneau de calendrier."
Used to determine whether to show the developer tools.,Utilisé pour déterminer s’il faut afficher les outils de développement.
Stores the user acknowledgment that a public link to a Salesforce file is on email send. The warning window isn't continually shown after the user acknowledges this action.,Stocke l'accusé de réception de l'utilisateur selon lequel un lien public vers un fichier Salesforce figure lors de l'envoi d'un e-mail. La fenêtre d'avertissement ne s'affiche pas en permanence une fois que l'utilisateur a reconnu cette action.
Hides the dialog box that informs that the current user is logged out when switching to another user.,Masque la boîte de dialogue qui informe que l'utilisateur actuel est déconnecté lors du passage à un autre utilisateur.
Show the 'Ideas' list view or the 'Feed' list view.,Afficher la vue de liste « Idées » ou la vue de liste « Flux ».
"For the IoT product, stores user preference of whether to show Context Splash popup.","Pour le produit IoT, stocke les préférences de l'utilisateur quant à l'affichage ou non de la fenêtre contextuelle Context Splash."
"If the user’s session has expired, used to fetch the username and populate it on the main login page when using the process builder app.","Si la session de l'utilisateur a expiré, utilisé pour récupérer le nom d'utilisateur et le renseigner sur la page de connexion principale lors de l'utilisation de l'application de création de processus."
Stores the last logged in org for redirecting requests. Used for logging whether the cookie is present in site and community guest-user requests.,Stocke la dernière organisation connectée pour rediriger les demandes. Utilisé pour enregistrer si le cookie est présent dans les demandes des utilisateurs invités du site et de la communauté.
Sets a preference for displaying platform cache units to either MB or KB.,Définit une préférence pour l'affichage des unités de cache de plate-forme sur Mo ou Ko.
Stores a user’s view mode selection for this Experience Builder site.,Stocke la sélection du mode d’affichage d’un utilisateur pour ce site Experience Builder.
Used to store the user language preference for language detection and localized user experience in LWR sites. Used to store the user language preference for language detection and localized user experience in LWR sites.,Utilisé pour stocker la préférence de langue de l'utilisateur pour la détection de la langue et l'expérience utilisateur localisée dans les sites LWR. Utilisé pour stocker la préférence de langue de l'utilisateur pour la détection de la langue et l'expérience utilisateur localisée dans les sites LWR.
Enables the customer to store URLs that are exempt from setting a redirect warning interstitial page on an allowlist.,Permet au client de stocker les URL qui sont exemptées de la définition d'une page interstitielle d'avertissement de redirection sur une liste verte.
Used to show or hide a warning message for the new dashboard builder.,Utilisé pour afficher ou masquer un message d'avertissement pour le nouveau générateur de tableau de bord.
Preference for left navigation UI in CRM Analytics.,Préférence pour l'interface utilisateur de navigation à gauche dans CRM Analytics.
Preference for displaying list views in CRM Analytics.,Préférence pour l'affichage des vues de liste dans CRM Analytics.
Stores Experience Cloud preferences.,Stocke les préférences Experience Cloud.
A third-party cookie that’s used if the site admin chooses to track site users with a Google Analytics tracking ID.,Un cookie tiers utilisé si l'administrateur du site choisit de suivre les utilisateurs du site avec un identifiant de suivi Google Analytics.
Used to render pages based on specified brand.,Utilisé pour afficher les pages en fonction de la marque spécifiée.
Used to calculate the ExperiencePageTime on Salesforce Classic pages.,Utilisé pour calculer ExperiencePageTime sur les pages Salesforce Classic.
Used to track when a Lightning page has malformed HTML.,Utilisé pour suivre lorsqu'une page Lightning contient du code HTML mal formé.
Sets the inline calendar date state in Salesforce Classic (current week selected).,Définit l'état de la date du calendrier en ligne dans Salesforce Classic (semaine en cours sélectionnée).
Used to track a guest shopper's browsing activity.,Utilisé pour suivre l'activité de navigation d'un acheteur invité.
Instructs Live Agent not to reissue an invitation on the same domain. Deletion of this cookie degrades customer experience as they can get repeated invitations.,Demande à Live Agent de ne pas réémettre une invitation sur le même domaine. La suppression de ce cookie dégrade l'expérience client car ils peuvent recevoir des invitations répétées.
Tracks the last logged in org.,Suit la dernière organisation connectée.
"Deprecated feature, not used.","Fonctionnalité obsolète, non utilisée."
Used to avoid duplicate access checks.,Utilisé pour éviter les contrôles d'accès en double.
Used to collect metrics per page view for personalization.,Utilisé pour collecter des métriques par page vue à des fins de personnalisation.
